resources/creatures/human1.png
spell_up	7	0 0 64 64 64 0 64 64 128 0 64 64 192 0 64 64 256 0 64 64 320 0 64 64 384 0 64 64
spell_left	7	0 64 64 64 64 64 64 64 128 64 64 64 192 64 64 64 256 64 64 64 320 64 64 64 384 64 64 64
spell_down	7	0 128 64 64 64 128 64 64 128 128 64 64 192 128 64 64 256 128 64 64 320 128 64 64 384 128 64 64
spell_right	7	0 192 64 64 64 192 64 64 128 192 64 64 192 192 64 64 256 192 64 64 320 192 64 64 384 192 64 64
thrust_up	8	0 256 64 64 64 256 64 64 128 256 64 64 192 256 64 64 256 256 64 64 320 256 64 64 384 256 64 64 448 256 64 64
thrust_left	8	0 320 64 64 64 320 64 64 128 320 64 64 192 320 64 64 256 320 64 64 320 320 64 64 384 320 64 64 448 320 64 64
thrust_down	8	0 384 64 64 64 384 64 64 128 384 64 64 192 384 64 64 256 384 64 64 320 384 64 64 384 384 64 64 448 384 64 64
thrust_right	8	0 448 64 64 64 448 64 64 128 448 64 64 192 448 64 64 256 448 64 64 320 448 64 64 384 448 64 64 448 448 64 64
walk_up	9	0 512 64 64 64 512 64 64 128 512 64 64 192 512 64 64 256 512 64 64 320 512 64 64 384 512 64 64 448 512 64 64 512 512 64 64
walk_left	9	0 576 64 64 64 576 64 64 128 576 64 64 192 576 64 64 256 576 64 64 320 576 64 64 384 576 64 64 448 576 64 64 512 576 64 64
walk_down	9	0 640 64 64 64 640 64 64 128 640 64 64 192 640 64 64 256 640 64 64 320 640 64 64 384 640 64 64 448 640 64 64 512 640 64 64
walk_right	9	0 704 64 64 64 704 64 64 128 704 64 64 192 704 64 64 256 704 64 64 320 704 64 64 384 704 64 64 448 704 64 64 512 704 64 64
swing_up	6	0 768 64 64 64 768 64 64 128 768 64 64 192 768 64 64 256 768 64 64 320 768 64 64
swing_left	6	0 832 64 64 64 832 64 64 128 832 64 64 192 832 64 64 256 832 64 64 320 832 64 64
swing_down	6	0 896 64 64 64 896 64 64 128 896 64 64 192 896 64 64 256 896 64 64 320 896 64 64
swing_right	6	0 960 64 64 64 960 64 64 128 960 64 64 192 960 64 64 256 960 64 64 320 960 64 64
draw_up	13	0 1024 64 64 64 1024 64 64 128 1024 64 64 192 1024 64 64 256 1024 64 64 320 1024 64 64 384 1024 64 64 448 1024 64 64 512 1024 64 64 576 1024 64 64 640 1024 64 64 704 1024 64 64 768 1024 64 64
draw_left	13	0 1088 64 64 64 1088 64 64 128 1088 64 64 192 1088 64 64 256 1088 64 64 320 1088 64 64 384 1088 64 64 448 1088 64 64 512 1088 64 64 576 1088 64 64 640 1088 64 64 704 1088 64 64 768 1088 64 64
draw_down	13	0 1152 64 64 64 1152 64 64 128 1152 64 64 192 1152 64 64 256 1152 64 64 320 1152 64 64 384 1152 64 64 448 1152 64 64 512 1152 64 64 576 1152 64 64 640 1152 64 64 704 1152 64 64 768 1152 64 64
draw_right	13	0 1216 64 64 64 1216 64 64 128 1216 64 64 192 1216 64 64 256 1216 64 64 320 1216 64 64 384 1216 64 64 448 1216 64 64 512 1216 64 64 576 1216 64 64 640 1216 64 64 704 1216 64 64 768 1216 64 64
die		6	0 1280 64 64 64 1280 64 64 128 1280 64 64 192 1280 64 64 256 1280 64 64 320 1280 64 64
